state,label,n,state_n,pct,p05,p50,p95,dated_n,s_p05,s_p50,s_p95,outlier_flags,status_details,cleaning_action
AK,ACTIVE / GOOD_STANDING / Good Standing,111826,163869,68.241,1995.0,2020.0,2026.0,111822.0,1997,2019,2026,,Good Standing,
AK,INACTIVE / NOT_GOOD_STANDING / Non-Compliant,42642,163869,26.022,2002.0,2019.0,2024.0,42642.0,1997,2019,2026,,Non-Compliant,
AK,ACTIVE / (none) / Active Name,9401,163869,5.737,2015.0,2021.0,2026.0,9400.0,1997,2019,2026,,Active Name,
AL,ACTIVE / (none) / (none),1529150,2169592,70.481,1967.0,2011.0,2025.0,1528691.0,1959,2007,2024,,(none),
AL,INACTIVE / DISSOLVED / Dissolved,470516,2169592,21.687,1949.0,2000.0,2020.0,470438.0,1959,2007,2024,,Dissolved,
AL,INACTIVE / (none) / Withdrawn,97455,2169592,4.492,1944.0,1989.0,2015.0,97342.0,1959,2007,2024,,Withdrawn,
AL,INACTIVE / (none) / Merged,36564,2169592,1.685,1947.0,1982.0,2011.0,36522.0,1959,2007,2024,,Merged,
AL,INACTIVE / (none) / Revoked,19696,2169592,0.908,1967.0,1985.0,1994.0,19696.0,1959,2007,2024,RETIRED: 95% of filings before 1994 (state median 2007),Revoked,
AL,INACTIVE / (none) / Cancelled,15748,2169592,0.726,1985.0,2001.0,2011.0,15748.0,1959,2007,2024,,Cancelled,
AL,INACTIVE / (none) / Consolidated,463,2169592,0.021,1900.0,1946.0,1988.0,459.0,1959,2007,2024,RETIRED: 95% of filings before 1988 (state median 2007),Consolidated,
AR,ACTIVE / GOOD_STANDING / Good Standing,225237,779974,28.878,1991.0,2020.0,2026.0,225237.0,1983,2013,2025,,Good Standing,
AR,UNKNOWN / (none) / (none),190753,779974,24.456,1981.0,2003.0,2018.0,190753.0,1983,2013,2025,,(none),
AR,INACTIVE / DISSOLVED / Dissolved,115486,779974,14.806,1980.0,2007.0,2022.0,115486.0,1983,2013,2025,,Dissolved,
AR,INACTIVE / (none) / Revoked,93736,779974,12.018,2007.0,2021.0,2024.0,93736.0,1983,2013,2025,,Revoked,
AR,INACTIVE / (none) / Not Current,75574,779974,9.689,1998.0,2022.0,2025.0,75574.0,1983,2013,2025,,Not Current,
AR,INACTIVE / DISSOLVED / Statutorily Dissolved,33083,779974,4.242,1971.0,1996.0,2015.0,33083.0,1983,2013,2025,,Statutorily Dissolved,
AR,INACTIVE / (none) / Withdrawn,25595,779974,3.282,1980.0,2004.0,2021.0,25595.0,1983,2013,2025,,Withdrawn,
AR,INACTIVE / (none) / Merged,10024,779974,1.285,1968.0,1995.0,2016.0,10024.0,1983,2013,2025,,Merged,
AR,INACTIVE / (none) / Converted,5310,779974,0.681,1984.0,2009.0,2022.0,5310.0,1983,2013,2025,,Converted,
AR,INACTIVE / DISSOLVED / Administratively Dissolved,3175,779974,0.407,1970.0,1984.0,2001.0,3175.0,1983,2013,2025,RETIRED: 95% of filings before 2001 (state median 2013),Administratively Dissolved,
AR,ACTIVE / PENDING_ACTIVE / Pending,722,779974,0.093,1998.0,2019.0,2024.0,722.0,1983,2013,2025,,Pending,
AR,INACTIVE / (none) / Administratively Withdrawn,471,779974,0.06,1967.0,1984.0,1996.0,471.0,1983,2013,2025,RETIRED: 95% of filings before 1996 (state median 2013),Administratively Withdrawn,
AR,INACTIVE / (none) / Cancelled,383,779974,0.049,1987.0,1987.0,2004.0,383.0,1983,2013,2025,,Cancelled,
AR,INACTIVE / (none) / (none),175,779974,0.022,2021.0,2022.0,2023.0,175.0,1983,2013,2025,,(none),AR legacy rows not refreshed since Mar-2023 (superseded mapping): sub_status and status_details cleared
AR,ACTIVE / (none) / Transferred,107,779974,0.014,1981.0,2005.0,2021.0,107.0,1983,2013,2025,,Transferred,
AR,INACTIVE / (none) / Expired,66,779974,0.008,1964.0,1981.0,2014.0,66.0,1983,2013,2025,RARE: <0.01% of state,Expired,
AR,INACTIVE / DISSOLVED / Judicially Dissolved,51,779974,0.007,1979.0,2005.0,2018.0,51.0,1983,2013,2025,RARE: <0.01% of state,Judicially Dissolved,
AR,INACTIVE / (none) / Consolidated,16,779974,0.002,1924.0,2004.0,2008.0,16.0,1983,2013,2025,RARE: <0.01% of state,Consolidated,
AR,INACTIVE / (none) / Used,9,779974,0.001,1974.0,1984.0,1988.0,9.0,1983,2013,2025,RARE: <0.01% of state,Used,
AR,ACTIVE / (none) / (none),1,779974,0.0,2015.0,2015.0,2015.0,1.0,1983,2013,2025,RARE: <0.01% of state,(none),
AZ,ACTIVE / (none) / Active,1687889,2607919,64.722,2001.0,2019.0,2026.0,1687460.0,1986,2015,2025,,Active,
AZ,INACTIVE / (none) / Inactive,896149,2607919,34.363,1980.0,2003.0,2022.0,788162.0,1986,2015,2025,,Inactive,
AZ,ACTIVE / PENDING_INACTIVE / Pending Inactive,16700,2607919,0.64,1991.0,2019.0,2026.0,16691.0,1986,2015,2025,,Pending Inactive,
AZ,INACTIVE / PENDING_ACTIVE / Pending Active,6923,2607919,0.265,2018.0,2021.0,2026.0,335.0,1986,2015,2025,,Pending Active,status UNKNOWN->INACTIVE (pending activation)
AZ,INACTIVE / (none) / (none),258,2607919,0.01,1900.0,2019.0,2023.0,256.0,1986,2015,2025,,(none),
CA,ACTIVE / GOOD_STANDING / Active,3806976,9366323,40.645,1992.0,2022.0,2026.0,3806976.0,1970,2013,2025,,Active,
CA,INACTIVE / (none) / Terminated,2633102,9366323,28.112,1971.0,2008.0,2023.0,2633102.0,1970,2013,2025,,Terminated,
CA,INACTIVE / (none) / Suspended - FTB,1796992,9366323,19.186,1930.0,2001.0,2020.0,1796992.0,1970,2013,2025,,Suspended - FTB,
CA,INACTIVE / (none) / Suspended - FTB/SOS,529945,9366323,5.658,1982.0,2006.0,2018.0,529945.0,1970,2013,2025,,Suspended - FTB/SOS,
CA,INACTIVE / (none) / Forfeited - FTB,158981,9366323,1.697,1930.0,2004.0,2020.0,158981.0,1970,2013,2025,,Forfeited - FTB,
CA,INACTIVE / (none) / Merged Out,94690,9366323,1.011,1951.0,1985.0,2013.0,94690.0,1970,2013,2025,,Merged Out,
CA,INACTIVE / (none) / Terminated - FTB Admin,79178,9366323,0.845,1961.0,1993.0,2010.0,79178.0,1970,2013,2025,,Terminated - FTB Admin,
CA,INACTIVE / (none) / Forfeited - FTB/SOS,70994,9366323,0.758,1983.0,2002.0,2017.0,70994.0,1970,2013,2025,,Forfeited - FTB/SOS,
CA,ACTIVE / NOT_GOOD_STANDING / Active,50220,9366323,0.536,1986.0,2021.0,2024.0,50220.0,1970,2013,2025,,Active,
CA,INACTIVE / (none) / Converted Out,47608,9366323,0.508,1990.0,2011.0,2021.0,47608.0,1970,2013,2025,,Converted Out,
CA,ACTIVE / PENDING_INACTIVE / Active - Pending Termination,42280,9366323,0.451,1987.0,2021.0,2025.0,42280.0,1970,2013,2025,,Active - Pending Termination,
CA,INACTIVE / (none) / Suspended - SOS,25982,9366323,0.277,1973.0,2007.0,2019.0,25982.0,1970,2013,2025,,Suspended - SOS,
CA,INACTIVE / (none) / Terminated - SOS Admin,17905,9366323,0.191,1986.0,2010.0,2026.0,17905.0,1970,2013,2025,,Terminated - SOS Admin,
CA,INACTIVE / (none) / Forfeited - SOS,6802,9366323,0.073,1981.0,2009.0,2018.0,6802.0,1970,2013,2025,,Forfeited - SOS,
CA,INACTIVE / (none) / Terminated - Term Expired,3798,9366323,0.041,1874.0,1895.0,1925.0,3798.0,1970,2013,2025,RETIRED: 95% of filings before 1925 (state median 2013),Terminated - Term Expired,
CA,INACTIVE / (none) / Inactive,673,9366323,0.007,1893.0,1949.0,2017.0,673.0,1970,2013,2025,RARE: <0.01% of state,Inactive,
CA,INACTIVE / (none) / Suspended - FTB/SOS/VCFCF,82,9366323,0.001,1991.0,2004.0,2014.0,82.0,1970,2013,2025,RARE: <0.01% of state,Suspended - FTB/SOS/VCFCF,
