state,label,n,pct,suggested_category,assessment,reason,flags,your_category,your_note
NC,INACTIVE / (none) / Multiple,372837,12.925,UNRESOLVED,REVIEW,"wording not classifiable: ""Multiple""",,,
OH,UNKNOWN / (none) / Unknown,125830,3.841,UNRESOLVED,REVIEW,"wording not classifiable: ""Unknown""",,,
AR,INACTIVE / (none) / Not Current,75574,9.689,SUSPENDED,CONCERN,"inactive with delinquency wording; likely lost powers, reinstatable",,,
IL,INACTIVE / NOT_GOOD_STANDING / NGS,69076,1.983,SUSPENDED,CONCERN,"inactive with delinquency wording; likely lost powers, reinstatable",,,
KY,INACTIVE / (none) / Deleted,45992,3.544,UNRESOLVED,REVIEW,"wording not classifiable: ""Deleted""",,,
AK,INACTIVE / NOT_GOOD_STANDING / Non-Compliant,42642,26.022,SUSPENDED,CONCERN,"inactive with delinquency wording; likely lost powers, reinstatable",,,
IL,ACTIVE / PENDING_ACTIVE / Reinstated,22977,0.66,IN_GOOD_STANDING,CLEAR,recently reinstated,,,
CT,ACTIVE / (none) / Annual report due,20394,1.569,IN_GOOD_STANDING,CLEAR,report due but not yet past due,,,
SC,INACTIVE / (none) / No agent,16132,0.993,SUSPENDED,CONCERN,"inactive with delinquency wording; likely lost powers, reinstatable",,,
NH,INACTIVE / (none) / Hold,13451,2.492,SUSPENDED,CONCERN,"inactive with delinquency wording; likely lost powers, reinstatable",NEW,,
NV,INACTIVE / (none) / Administrative Hold,13287,0.669,UNRESOLVED,REVIEW,"wording not classifiable: ""Administrative Hold""",,,
MS,UNKNOWN / (none) / Undefined,12687,1.277,UNRESOLVED,REVIEW,"wording not classifiable: ""Undefined""",,,
LA,INACTIVE / PENDING_INACTIVE / WITHDRAWAL PENDING,12260,0.691,TERMINATED_UNSPECIFIED,CONCERN,inactive with pending-action wording,,,
AK,ACTIVE / (none) / Active Name,9401,5.737,UNRESOLVED,REVIEW,"wording not classifiable: ""Active Name""",,,
NH,UNKNOWN / (none) / Reserved Name Expired,7552,1.399,NOT_FORMED,CONCERN,status UNKNOWN; category from wording only,,,
ME,INACTIVE / (none) / EXCUSED,6491,1.726,UNRESOLVED,REVIEW,"wording not classifiable: ""EXCUSED""",,,
KS,ACTIVE / PENDING_ACTIVE / Registered,6026,0.67,NOT_FORMED,CONCERN,active status with pre-formation wording,,,
TX,INACTIVE / (none) / DELETED,5967,0.074,UNRESOLVED,REVIEW,"wording not classifiable: ""DELETED""",,,
MI,INACTIVE / (none) / Rescinded,3871,0.116,UNRESOLVED,REVIEW,"wording not classifiable: ""Rescinded""",,,
WV,INACTIVE / (none) / Other,3429,0.561,UNRESOLVED,REVIEW,"wording not classifiable: ""Other""",,,
OK,INACTIVE / (none) / Deleted,3408,0.234,UNRESOLVED,REVIEW,"wording not classifiable: ""Deleted""",,,
IN,INACTIVE / (none) / Non-Qualified Merged,2766,0.137,UNRESOLVED,REVIEW,"wording not classifiable: ""Non-Qualified Merged""",,,
WV,INACTIVE / (none) / LLC Termination (Future Term),1868,0.306,TERMINATED_UNSPECIFIED,CONCERN,inactive with pending-action wording,,,
NY,INACTIVE / (none) / Active,1638,0.023,TERMINATED_UNSPECIFIED,CONCERN,positive wording on inactive record is stale; enum used,STALE_WORDING,,
NM,UNKNOWN / (none) / Process Of Appeal,1364,0.187,UNRESOLVED,REVIEW,"wording not classifiable: ""Process Of Appeal""",RETIRED,,
NH,UNKNOWN / (none) / Rejection Name Protected,1342,0.249,NOT_FORMED,CONCERN,status UNKNOWN; category from wording only,NEW,,
MI,UNKNOWN / (none) / Other,1238,0.037,UNRESOLVED,REVIEW,"wording not classifiable: ""Other""",,,
KS,INACTIVE / NOT_GOOD_STANDING / Rescinded,990,0.11,UNRESOLVED,REVIEW,"wording not classifiable: ""Rescinded""",NEW,,
AR,ACTIVE / PENDING_ACTIVE / Pending,722,0.093,NOT_FORMED,CONCERN,active status with pre-formation wording,,,
CO,INACTIVE / (none) / Registered Agent Resigned,663,0.021,SUSPENDED,CONCERN,"inactive with delinquency wording; likely lost powers, reinstatable",RETIRED,,
CT,ACTIVE / (none) / First report due,640,0.049,IN_GOOD_STANDING,CLEAR,report due but not yet past due,NEW,,
NH,INACTIVE / (none) / Non-Qualified,633,0.117,UNRESOLVED,REVIEW,"wording not classifiable: ""Non-Qualified""",,,
KS,UNKNOWN / (none) / Name Reserved,596,0.066,NOT_FORMED,CONCERN,status UNKNOWN; category from wording only,NEW,,
GA,INACTIVE / (none) / See Notepad,537,0.012,UNRESOLVED,REVIEW,"wording not classifiable: ""See Notepad""",RETIRED,,
WV,INACTIVE / (none) / Bankruptcy,533,0.087,UNRESOLVED,REVIEW,"wording not classifiable: ""Bankruptcy""",,,
TX,INACTIVE / (none) / LAW REPEATED,478,0.006,UNRESOLVED,REVIEW,"wording not classifiable: ""LAW REPEATED""","RETIRED,RARE",,
MD,UNKNOWN / (none) / INCORPORATED PRIOR TO 12/27/1977,472,0.021,IN_GOOD_STANDING,CLEAR,status UNKNOWN; category from wording only,RETIRED,,
RI,INACTIVE / (none) / Bankruptcy,468,0.127,UNRESOLVED,REVIEW,"wording not classifiable: ""Bankruptcy""",,,
WV,INACTIVE / (none) / Not Processed,433,0.071,UNRESOLVED,REVIEW,"wording not classifiable: ""Not Processed""",,,
NM,INACTIVE / (none) / Pending Initial Report,330,0.045,UNRESOLVED,REVIEW,"wording not classifiable: ""Pending Initial Report""",,,
OH,INACTIVE / (none) / Fraudulent,319,0.01,UNRESOLVED,REVIEW,"wording not classifiable: ""Fraudulent""",NEW,,
KS,UNKNOWN / (none) / Converted,305,0.034,SUCCEEDED,REVIEW,status UNKNOWN; category from wording only,,,
CT,UNKNOWN / (none) / Recorded,299,0.023,UNRESOLVED,REVIEW,"wording not classifiable: ""Recorded""",,,
RI,INACTIVE / (none) / Receivership,292,0.079,UNRESOLVED,REVIEW,"wording not classifiable: ""Receivership""",,,
IL,INACTIVE / DISSOLVED / Bankruptcy,274,0.008,UNRESOLVED,REVIEW,"wording not classifiable: ""Bankruptcy""",RARE,,
SC,INACTIVE / (none) / Deleted,245,0.015,UNRESOLVED,REVIEW,"wording not classifiable: ""Deleted""",,,
GA,INACTIVE / (none) / Hold,244,0.006,SUSPENDED,CONCERN,"inactive with delinquency wording; likely lost powers, reinstatable",RARE,,
ME,INACTIVE / NOT_GOOD_STANDING / NOT IN GOOD STANDING,236,0.063,SUSPENDED,CONCERN,"inactive with delinquency wording; likely lost powers, reinstatable",,,
CO,INACTIVE / (none) / Effectiveness Prevented,227,0.007,UNRESOLVED,REVIEW,"wording not classifiable: ""Effectiveness Prevented""",RARE,,
NM,ACTIVE / (none) / Bankruptcy-Receivership,223,0.031,UNRESOLVED,REVIEW,"wording not classifiable: ""Bankruptcy-Receivership""",RETIRED,,
NV,INACTIVE / (none) / Removed by Statute,193,0.01,UNRESOLVED,REVIEW,"wording not classifiable: ""Removed by Statute""",RETIRED,,
AR,INACTIVE / (none) / (none),175,0.022,TERMINATED_UNSPECIFIED,CONCERN,"legacy row, not refreshed since Mar-2023",STALE_RECORD,,
TX,ACTIVE / (none) / REPORT DUE,156,0.002,IN_GOOD_STANDING,CLEAR,report due but not yet past due,RARE,,
KY,INACTIVE / (none) / Unknown,152,0.012,UNRESOLVED,REVIEW,"wording not classifiable: ""Unknown""",,,
CT,INACTIVE / (none) / Removed,144,0.011,UNRESOLVED,REVIEW,"wording not classifiable: ""Removed""",,,
MO,INACTIVE / (none) / Non-Qualified,143,0.006,UNRESOLVED,REVIEW,"wording not classifiable: ""Non-Qualified""",RARE,,
NH,UNKNOWN / (none) / Reserved Name,139,0.026,NOT_FORMED,CONCERN,status UNKNOWN; category from wording only,NEW,,
NM,INACTIVE / (none) / Exempt,121,0.017,UNRESOLVED,REVIEW,"wording not classifiable: ""Exempt""",,,
KS,UNKNOWN / (none) / NAME RESERVATION,116,0.013,NOT_FORMED,CONCERN,status UNKNOWN; category from wording only,NEW,,
NH,UNKNOWN / (none) / Reserved Name Cancelled,116,0.021,NOT_FORMED,CONCERN,status UNKNOWN; category from wording only,,,
AR,ACTIVE / (none) / Transferred,107,0.014,UNRESOLVED,REVIEW,"wording not classifiable: ""Transferred""",,,
PA,UNKNOWN / (none) / Active - Pending Future Effective Date,89,0.003,NOT_FORMED,CONCERN,status UNKNOWN; category from wording only,RARE,,
GA,ACTIVE / NOT_GOOD_STANDING / Under Investigation,85,0.002,UNRESOLVED,REVIEW,"wording not classifiable: ""Under Investigation""",RARE,,
NV,INACTIVE / (none) / ILOPending,84,0.004,UNRESOLVED,REVIEW,"wording not classifiable: ""ILOPending""",RARE,,
ME,UNKNOWN / (none) / AUTHORITY REVOKED,81,0.022,TERMINATED_INVOLUNTARY,CONCERN,status UNKNOWN; category from wording only,,,
MS,"UNKNOWN / (none) / Intent To Dissolve - Failure to File Annual Report and no Registered Agent""",80,0.008,AT_RISK,REVIEW,status UNKNOWN; category from wording only,RARE,,
SC,ACTIVE / PENDING_INACTIVE / Intent,79,0.005,UNRESOLVED,REVIEW,"wording not classifiable: ""Intent""",RARE,,
RI,ACTIVE / (none) / Name Reservation,78,0.021,NOT_FORMED,CONCERN,active status with pre-formation wording,,,
NC,INACTIVE / (none) / Not Registered,77,0.003,TERMINATED_UNSPECIFIED,CONCERN,positive wording on inactive record is stale; enum used,"STALE_WORDING,RARE",,
ME,UNKNOWN / (none) / GENERAL PARTNERSHIP OPTIONAL FILING - NO STATUS WITH SOS,70,0.019,UNRESOLVED,REVIEW,"wording not classifiable: ""GENERAL PARTNERSHIP OPTIONAL FILING - NO STATUS WITH SOS""",,,
MD,UNKNOWN / (none) / INACTIVE,69,0.003,TERMINATED_UNSPECIFIED,CONCERN,status UNKNOWN; category from wording only,RARE,,
WA,ACTIVE / PENDING_ACTIVE / (none),67,0.003,NOT_FORMED,CONCERN,active with pending-activation sub-status,RARE,,
NV,INACTIVE / (none) / Deleted,63,0.003,UNRESOLVED,REVIEW,"wording not classifiable: ""Deleted""",RARE,,
RI,ACTIVE / (none) / Bankruptcy,55,0.015,UNRESOLVED,REVIEW,"wording not classifiable: ""Bankruptcy""",,,
NM,UNKNOWN / (none) / Non-Filer,54,0.007,UNRESOLVED,REVIEW,"wording not classifiable: ""Non-Filer""",RARE,,
LA,INACTIVE / (none) / In Active,49,0.003,UNRESOLVED,REVIEW,"wording not classifiable: ""In Active""",RARE,,
OK,ACTIVE / PENDING_INACTIVE / Impending Ouster,49,0.003,UNRESOLVED,REVIEW,"wording not classifiable: ""Impending Ouster""",RARE,,
WV,INACTIVE / (none) / Material Misrepresentation,47,0.008,UNRESOLVED,REVIEW,"wording not classifiable: ""Material Misrepresentation""",RARE,,
MI,INACTIVE / (none) / Not Registered,45,0.001,TERMINATED_UNSPECIFIED,CONCERN,positive wording on inactive record is stale; enum used,"STALE_WORDING,RARE",,
NM,INACTIVE / (none) / Returned Report,36,0.005,UNRESOLVED,REVIEW,"wording not classifiable: ""Returned Report""",RARE,,
RI,ACTIVE / (none) / Receivership,33,0.009,UNRESOLVED,REVIEW,"wording not classifiable: ""Receivership""",RARE,,
GA,INACTIVE / (none) / Non-Qualifying/Non-Filing,23,0.001,UNRESOLVED,REVIEW,"wording not classifiable: ""Non-Qualifying/Non-Filing""",RARE,,
MS,ACTIVE / (none) / NameChange,23,0.002,UNRESOLVED,REVIEW,"wording not classifiable: ""NameChange""",RARE,,
KS,UNKNOWN / (none) / Converted to National/Federal,20,0.002,SUCCEEDED,REVIEW,status UNKNOWN; category from wording only,RARE,,
RI,ACTIVE / (none) / Revival,17,0.005,UNRESOLVED,REVIEW,"wording not classifiable: ""Revival""",RARE,,
IL,INACTIVE / PENDING_ACTIVE / Special Act Corporation,16,0.0,NOT_FORMED,CONCERN,positive wording on inactive record is stale; enum used,"STALE_WORDING,RARE",,
ME,INACTIVE / (none) / REMOVED - ADMINISTRATIVE ORDER,16,0.004,UNRESOLVED,REVIEW,"wording not classifiable: ""REMOVED - ADMINISTRATIVE ORDER""",RARE,,
RI,ACTIVE / (none) / Name Registration,15,0.004,NOT_FORMED,CONCERN,active status with pre-formation wording,RARE,,
UT,INACTIVE / (none) / Required Filing Hold,14,0.001,UNRESOLVED,REVIEW,"wording not classifiable: ""Required Filing Hold""",RARE,,
NM,INACTIVE / DISSOLVED / Statement Of Intent To Dissolve,14,0.002,TERMINATED_UNSPECIFIED,CONCERN,inactive with pending-action wording,RARE,,
NH,UNKNOWN / (none) / Converted,12,0.002,SUCCEEDED,REVIEW,status UNKNOWN; category from wording only,RARE,,
WV,ACTIVE / (none) / Material Misrepresentation,10,0.002,UNRESOLVED,REVIEW,"wording not classifiable: ""Material Misrepresentation""",RARE,,
AR,INACTIVE / (none) / Used,9,0.001,UNRESOLVED,REVIEW,"wording not classifiable: ""Used""",RARE,,
CA,ACTIVE / PENDING_ACTIVE / Active - Pending Future Effective Date,9,0.0,NOT_FORMED,CONCERN,active status with pre-formation wording,RARE,,
CT,ACTIVE / (none) / Fraudulent Filing Complaint Sent,8,0.001,UNRESOLVED,REVIEW,"wording not classifiable: ""Fraudulent Filing Complaint Sent""",RARE,,
MO,ACTIVE / (none) / Fictitious Active,7,0.0,UNRESOLVED,REVIEW,"wording not classifiable: ""Fictitious Active""",RARE,,
NC,INACTIVE / (none) / Certification,7,0.0,UNRESOLVED,REVIEW,"wording not classifiable: ""Certification""",RARE,,
DC,UNKNOWN / (none) / Domestic,7,0.001,UNRESOLVED,REVIEW,"wording not classifiable: ""Domestic""",RARE,,
